['华丽上班族'],['杜琪峰'],"['周润发', '张艾嘉', '汤唯', '陈奕迅']","['剧情,爱情,歌舞']","['2015', '09', '02']",['4751万']
['巴啦啦小魔仙之魔箭公主'],['陈诚'],"['赵粤', '戴萌', '赵今麦', '刘黛希']","['奇幻,冒险,动作']","['2015', '10', '01']",['3828万']
['无人之境'],[],[],['爱情'],"['2015', '09', '28']",[]
['白幽灵传奇之绝命逃亡'],['尼克·鲍威尔'],"['海登·克里斯滕森', '尼古拉斯·凯奇', '刘亦菲', '安志杰']","['动作,古装']","['2015', '04', '03']",['2429万']
['特警力量'],['刘猛'],"['任天野', '徐洪浩', '安雅萍', '王妍之']","['剧情,警匪,悬疑']","['2015', '04', '27']",[]
['魔卡行动'],['姜国民'],"['乔任梁', '张馨予', '任达华', '玛丽亚·格拉齐亚·库奇诺塔']","['动作,喜剧,爱情']","['2015', '10', '16']",['283万']
['德云社甲午岁末封箱专场演出2015'],"['郭德纲', '于谦', '岳云鹏', '孙越', '阎鹤祥']",[],"['喜剧,戏曲']","['2015', '02', '14']",[]
['丧尸大战僵尸'],['杨哲'],"['吕晶', '张哲浩', '贺宽', '彭禺厶']","['喜剧,动作,惊悚']","['2015', '11', '27']",[]
['星语心愿之再爱'],['邓科'],"['董维嘉', '王传君', '陈亦飞', '李佑晨']","['爱情,奇幻']","['2015', '09', '11']",['521万']
['大话西游之妖怪别跑4'],[],[],[],['2015'],[]
['念念'],['张艾嘉'],"['张孝全', '梁洛施', '柯宇纶', '李心洁']","['剧情,爱情,家庭']","['2015', '04', '30']",['1390万']
